rut_completo,razon_social,n_trabajadores,comuna,subrubro,nombre_fantasia,web,tiene_whatsapp_web,canal_contacto,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,google_rating,google_resenas,senal_dolor,confianza,fuente_url,n,prioridad
79589710-0,CARIOLA DIEZ PEREZ COTAPOS  LIMITADA,147,LAS CONDES,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,Cariola Diez Perez-Cotapos,cariola.cl,no,"Telefono +56 2 2360 4000, correo generico cariola@cariola.cl y formulario con 8 opciones de asunto y 24 areas de practica para elegir. Sin WhatsApp ni chat",https://cl.linkedin.com/company/cariola-d%C3%ADez-p%C3%A9rez-cotapos,Max Correa,Gerente General,,+56 2 2360 4000,,,"El unico formulario del sitio obliga a clasificarse entre 8 asuntos y 24 areas de practica antes de escribir, y no hay WhatsApp: un cliente nuevo entra por un correo generico (cariola@cariola.cl)",media,https://www.df.cl/empresas/entre-codigos/cariola-diez-perez-cotapos-y-sargent-krahn-tienen-nuevo-gerente-general,147,100
99569020-9,CLUB DEPORTIVO PALESTINO S A D P,143,LA CISTERNA,ACTIVIDADES DEPORTIVAS,Palestino,palestino.cl,no,"Formulario de 4 campos con dropdown obligatorio de 7 departamentos, 7 correos distintos publicados por area y un fijo +56 2 2554 8989. Entradas y abonos se derivan a Ticketmaster. Sin WhatsApp",,Diego Hernan Yunis Echenique,Gerente General (desde 01-11-2023),,+56 2 2554 8989,,,Un hincha o abonado con un problema debe elegir entre 7 departamentos en un dropdown y 7 correos distintos; no hay WhatsApp pese a que la venta de abonos y tienda es 100% digital,alta,https://www.cmfchile.cl/institucional/mercados/entidad.php?mercado=V&rut=99569020&grupo=&tipoentidad=RVEMI&row=&vig=VI&control=svs&pestania=47,143,100
76899160-K,SOC EDUCACIONAL CHICUREO SA,146,COLINA,"ENSENANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio Pumahue Chicureo (red Cognita),pumahue.cl/chicureo,no,Un solo telefono central +56 2 2605 9001; la admision se deriva a una landing externa (landing.pumahue.cl/chicureo-admision). No publica correos individuales del equipo directivo ni WhatsApp,,Andrea Correa Albornoz,Rectora Pumahue Chicureo,,+56 2 2605 9001,,,Admision (el momento de venta) se canaliza a una landing externa sin WhatsApp y con un unico fijo; la pagina de equipo lista 5 directivos sin un solo correo de contacto,media,https://www.pumahue.cl/chicureo/equipo/,146,100
72925300-6,CLUB DE GOLF LAS BRISAS DE SANTO DOMINGO,148,SANTO DOMINGO,ACTIVIDADES DEPORTIVAS,Club de Golf Las Brisas de Santo Domingo,https://golflasbrisas.cl,no,"Un solo telefono con anexos (11 Gerencia, 39 Casa Caddie, 38 Tenis, 23 Gimnasio, 13 Piscina), correo gerencia@golflasbrisas.cl y formulario. Otros contactos se entregan en un PDF descargable",,Eduardo Valenzuela Vaillant,Gerente General,,+56 35 242 0042,,,Toda la atencion de socios pasa por un unico numero con 5 anexos y un PDF de 'otros contactos'; el sitio no tiene WhatsApp ni chat,alta,https://golflasbrisas.cl/club/directorio/,148,100
65077320-9,FUND EDUCACIONAL COLEGIO CHAMPAGNAT,143,VILLA ALEMANA,"ENSENANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio Marista Villa Alemana - Champagnat,cch.maristas.cl,no,Formulario de 4 campos + 2 telefonos fijos + correos institucionales por cargo; no hay WhatsApp ni chat,https://cl.linkedin.com/company/colegio-champagnat,Andres Prado Soto,Rector (periodo 2025-2027),,+56 32 2950036 / +56 32 2531494,,,"sin WhatsApp: el contacto publico son 2 fijos y un formulario, y la propia pagina de contacto deriva al 'Encargado de contenidos' y al 'Soporte web' de Maristas Chile en Santiago",alta,https://www.cch.maristas.cl/organizacion/consejo_directivo,143,100
77376960-5,HISTOPATOLOGIA CITOLAB LIMITADA,143,PROVIDENCIA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Citolab - Laboratorio de Histopatologia,citolab.cl,no,Solo formulario de 4 campos (Nombre/Email/Institucion/Mensaje) con reCAPTCHA + correo contacto@citolab.cl + fono (02) 2650 7500; resultados y solicitud de material en dos portales aparte con login,,Arturo Espinoza,Director y fundador de Laboratorio Citolab (anatomo patologo),https://www.linkedin.com/in/dr-arturo-espinoza-565b2638/,+56 2 2650 7500,,,"600+ biopsias diarias y 380 convenios institucionales, pero sin WhatsApp: solo formulario de 4 campos; el campo telefono de la home aun muestra el placeholder '+56 9 1234 5678'",alta,https://www.citolab.cl/es,143,100
96996370-1,SOC EDUCACIONAL SAN MIGUEL ARCANGEL S A,148,LAS CONDES,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",Colegio San Miguel Arcangel,https://www.sanmiguelarcangel.cl,no,"Solo telefono fijo, un celular y el correo colegio@colegiosma.cl. No hay formulario de contacto ni WhatsApp en el sitio",,Camila Fernandez,Directora de Administracion y Finanzas,,+56 2 2217 2220 / +56 9 8839 0882,,,"Colegio de 148 funcionarios cuya unica via de contacto publicada es un fijo, un celular y el correo colegio@colegiosma.cl; sin WhatsApp ni formulario. Otro contacto util: Pedro Alvarado, Jefe de Operaciones y Soporte",alta,https://www.sanmiguelarcangel.cl/wpsma/equipo-administrativo/,148,100
79844530-8,PRONTOMATIC S.A.,144,HUECHURABA,OTRAS ACTIVIDADES DE SERVICIOS PERSONALES,ProntoMatic,https://www.prontomatic.cl,no,"Dos fijos (+56 2 2799 4026 atencion clientes, +56 2 2799 4000 mesa central), contacto@prontomatic.cl y dos formularios que piden RUT, celular, edificio y numero de tarjeta Paymatic. Sin WhatsApp ni chat",https://www.linkedin.com/company/prontomatic,Veronica Maturana,Gerencia Comercial,,+56 2 2799 4026,,,"17 locales en Santiago (Las Condes, Ñuñoa, Providencia, La Reina, Huechuraba) atendidos por 2 telefonos fijos y formularios que exigen RUT y numero de tarjeta Paymatic antes de responder; cero WhatsApp",alta,https://www.prontomatic.cl/contactanos/,144,100
76363680-1,UNION ESPANOLA S.A.D.P.,130,INDEPENDENCIA,ACTIVIDADES DEPORTIVAS,Union Espanola,unionespanola.cl,no,"Correo contacto@unionespanola.net, dos fijos y un celular (569) 9326 4421 en el pie de pagina; sin WhatsApp ni chat, y la seccion de abonados no ofrece contacto directo",https://cl.linkedin.com/company/ueoficial,Sabino Aguad,Gerente General,,(569) 9326 4421,,,"Los dos telefonos del pie de pagina estan mal escritos en el HTML (tel:+562443579550 y tel:+562443579551, un digito de mas), asi que el clic desde el celular no marca; ademas no hay WhatsApp para socios ni abonados",media,https://www.emol.com/noticias/Deportes/2025/12/01/1184647/sabino-aguad-jorgesegovia-union-descenso.html,130,99
80570200-1,LUKSIC ZUANIC SOCIEDAD ANONIMA,132,SANTIAGO,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,Luksic Zuanic,luksiczuanic.cl,no,"Solo correo por sucursal (luksic@, antofagasta@, concepcion@, copiapo@luksiczuanic.cl) y dos fijos; el item 'Contactenos' del menu esta deshabilitado en el HTML, no lleva a ninguna pagina",https://cl.linkedin.com/company/luksic-zuanic,Yerko Zuanic,Gerente Comercial,https://www.linkedin.com/in/yerko-zuanic-43677016/,(+56 2) 2347 6600,,,"Sitio sin WhatsApp y con el enlace 'Contactenos' comentado en el HTML: la unica via es escribir a uno de los 4 correos por sucursal (casa matriz, Antofagasta, Concepcion, Copiapo)",alta,https://www.linkedin.com/in/yerko-zuanic-43677016/,132,99
76020064-6,NUEVA CLINICA CORDILLERA PRESTACIONES AMBULATORIAS S.A.,135,LAS CONDES,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Nueva Clinica Cordillera (red Interclinica),nuevaclinicacordillera.cl,no,"Dos fijos (+56 2 2834 7500 mesa central y 2 2834 7530 horas), sin correo en el sitio (gerencia@nuevaclinicacordillera.cl solo figura en el registro de la Superintendencia) y reclamos derivados a plataforma externa del holding (reclamos2.interclinica.cl)",,Jaime Hagel Cabrera,"Representante legal (registrado en la sociedad hermana Nueva Clinica Cordillera Prestaciones Hospitalizadas S.A., misma clinica)",,+56 2 2834 7500,,,"Sin WhatsApp: dos fijos distintos para la misma clinica y los reclamos derivados a una plataforma externa del holding (reclamos2.interclinica.cl); el unico correo publico (gerencia@) esta en un registro estatal, no en su web",media,https://www.superdesalud.gob.cl/registro/nueva-clinica-cordillera/,135,99
70375900-9,COOP DE SERVICIOS SERMECOOP LTDA,113,SANTIAGO,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Sermecoop,sermecoop.cl,no,Un unico 600 655 8000 + sucursal virtual con login (misucursal.sermecoop.cl) + formulario; sin WhatsApp,https://cl.linkedin.com/company/sermecoop-ltda-,Mauricio Carcamo Peschke,Presidente del Consejo de Administracion,,600 655 8000,,,6 sucursales en Chile y un plan complementario de salud canalizados a un unico 600 655 8000 y a una sucursal virtual que exige login; el sitio no publica ningun WhatsApp,media,https://www.sermecoop.cl/nuestra-cooperativa/,113,98
76142730-K,GEMCO GENERAL MACHINERY S.A.,121,PROVIDENCIA,VENTA AL POR MENOR DE OTROS PRODUCTOS EN COMERCIOS ESPECIALIZADOS,GEMCO,gemco.cl,no,"Formulario de 9 campos (nombre, apellidos, email, telefono, compania, region, comuna, linea de negocio, descripcion) + chat en vivo + fono 600; sin WhatsApp",https://cl.linkedin.com/company/gemco-general-machinery-s.a.,Pablo Bartel,Gerente General,,600 006 0990 / +56 9 6603 9721,,,Vende y da postventa de equipamiento medico pero el contacto exige un formulario de 9 campos y un numero 600; el HTML no tiene ningun enlace wa.me ni api.whatsapp.com (solo el boton de compartir de Elementor),media,https://apisag.cl/socios/gemco-general-machinery-s-a/,121,98
96785290-2,CHILEAN TRADING COMPANY S A,124,QUILICURA,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,Chilean Trading (marcas Worldpack y Bioely),worldpack.cl,no,Solo un fijo +56 22 656 4077 en worldpack.cl; bioely.cl no publica telefono ni correo y el dominio corporativo chileantrading.cl esta vacio,https://www.linkedin.com/company/chilean-trading,Miguel Angel Perez Garcia,Gerente de Operaciones,https://www.linkedin.com/in/miguel-angel-perez-garcia-43638019/,+56 22 656 4077,,,"El dominio corporativo chileantrading.cl devuelve un 'Index of /' vacio, la marca Worldpack tiene el nombre mal escrito en el titulo del sitio ('wordlpack') y ninguna de las tres marcas del holding ofrece WhatsApp",alta,https://www.linkedin.com/in/miguel-angel-perez-garcia-43638019/,124,98
79748470-9,ELECTRICIDAD GUZMAN S A,113,RENCA,VENTA AL POR MENOR DE OTROS ENSERES DOMESTICOS EN COMERCIOS ESPECIALIZADOS,Guzman (Electricidad Guzman),guzman.cl,no,"3 correos separados (cotiza@, ventaweb@, servicioalcliente@) + 2 fijos (2 2387 1100 y 2 2387 1111) + formulario; sin WhatsApp",https://cl.linkedin.com/company/electricidad-guzman-sa,German Gonzalez Diaz,Gerente Comercial,https://www.linkedin.com/in/german-gonzalez-diaz-b98b1936/,+56 2 2387 1100,,,"Tiene e-commerce y red de tiendas pero reparte al cliente entre 3 correos distintos (cotiza@, ventaweb@, servicioalcliente@guzman.cl) y 2 fijos, y el HTML del sitio no contiene la palabra whatsapp",media,https://www.linkedin.com/in/german-gonzalez-diaz-b98b1936/,113,98
78660200-9,CLINICA OFTALMOLOGICA ISV LIMITADA,119,VINA DEL MAR,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,Clinica ISV / Red Oftalmologica ISV,clinicaisv.cl,no,"Fono 600 5830 800, agenda online en subdominio aparte (horasweb.clinicaisv.cl) y formulario; sin WhatsApp",https://www.linkedin.com/company/clinica-oftalmologica-isv-limitada,Pablo Munoz,Jefe de Tecnologia y Operaciones TI,,600 5830 800 / +56 32 238 0879 (Montemar),,,"Dos sedes con numeros distintos (600 5830 800 en Vina y 32 2380879 en Montemar) y la reserva de hora en otro subdominio; las unicas apariciones de 'WhatsApp' en el HTML son nombres de archivo de imagenes, no hay enlace de contacto",alta,https://www.clinicaisv.cl/nosotros/,119,98
