rut_completo,razon_social,n_trabajadores,comuna,region,subrubro,encaje_probable,por_que_encaja,web,linkedin_empresa,decisor_nombre,decisor_cargo,decisor_linkedin,telefono_publico,senal_dolor,confianza,fuente_url
65075277-5,FUNDACION EDUCACIONAL COLEGIO SAN FRANCISCO JAVIER DE CERRO NAVIA,150,CERRO NAVIA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
77921880-5,SENIORS GESTION DE ENFERMERIA SPA,150,LAS CONDES,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
78289760-8,SOC EDUCACIONAL ACEVAL GONZALEZ LTDA,150,MACUL,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
81314900-1,SAINT JOHN S VILLA ACADEMY,150,LA REINA,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
99598070-3,SOCIEDAD ONCOVIDA S.A.,150,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
65134782-3,CORPORACION EDUCACIONAL ECHAURREN,148,EST CENTRAL,XIII REGION METROPOLITANA,"ENSEÑANZA PREESCOLAR, PRIMARIA, SECUNDARIA CIENTIFICO HUMANISTA Y TECNICO PROFESIONAL",alto,"Educación: la temporada de admisión y matrícula concentra cientos de consultas idénticas sobre vacantes, aranceles y documentos.",,,,,,,,baja,
77312650-K,INMOBILIARIA JONES LANG LASALLE LIMITADA,148,PROVIDENCIA,XIII REGION METROPOLITANA,ACTIVIDADES INMOBILIARIAS REALIZADAS A CAMBIO DE UNA RETRIBUCION O POR CONTRATA,alto,"Corretaje (la mejor apuesta según la investigación de nichos): responder en menos de 5 minutos multiplica ~100x la probabilidad de contacto, y la de cierre cae ~50% por cada 30 minutos de demora. El corredor está en visitas la mitad del día. Ticket enorme: una comisión paga años de servicio. Apuntar a corredoras de 1-5 personas, no a las grandes con TI.",,,,,,,,baja,
77244621-7,NURSE SERVICE SPA,147,PROVIDENCIA,XIII REGION METROPOLITANA,OTRAS ACTIVIDADES DE ATENCION DE LA SALUD HUMANA,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
96989380-0,HOTELERA DON VICENTE S A,147,LAS CONDES,XIII REGION METROPOLITANA,ACTIVIDADES DE ALOJAMIENTO PARA ESTANCIAS CORTAS,alto,"Alojamiento y arriendo turístico (el #2 de la investigación y el mejor primer win): operan literalmente por WhatsApp, el incumbente es casi nulo y el build es el más simple. Disponibilidad, tarifas y reglas son la conversación entera, y llega a toda hora. Ojo con la estacionalidad: el dolor se siente en verano y Fiestas Patrias.",,,,,,,,baja,
65073010-0,CORP EDUCACION Y SALUD PARA EL SINDROME DE DOWN,145,SAN BERNARDO,XIII REGION METROPOLITANA,ACTIVIDADES DE MEDICOS Y ODONTOLOGOS,alto,"Salud ambulatoria (ICP 3): 'cuánto cuesta', '¿atienden mi isapre?', '¿hay hora para…?' todo el día. OJO — filtro duro del ICP: si ya usa AgendaPro, Reservo o Dentalink con WhatsApp activo, se descarta; el dolor ya está resuelto. Preguntarlo en la llamada.",,,,,,,,baja,
